day,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1.0,34.4618,0.03686,30.651,31.921,33.192,34.462,35.732,37.002,38.273
1,1.0,34.562,0.03656,30.771,32.035,33.298,34.562,35.826,37.089,38.353
2,1.0,34.6622,0.03625,30.893,32.149,33.406,34.662,35.919,37.175,38.432
3,1.0,34.7625,0.03595,31.013,32.263,33.513,34.762,36.012,37.262,38.512
4,1.0,34.8627,0.03564,31.135,32.378,33.62,34.863,36.105,37.348,38.59
5,1.0,34.9629,0.03533,31.257,32.492,33.728,34.963,36.198,37.433,38.669
6,1.0,35.0631,0.03503,31.378,32.607,33.835,35.063,36.291,37.52,38.748
7,1.0,35.1634,0.03472,31.501,32.722,33.943,35.163,36.384,37.605,38.826
8,1.0,35.2636,0.03441,31.623,32.837,34.05,35.264,36.477,37.69,38.904
9,1.0,35.3638,0.03411,31.745,32.951,34.158,35.364,36.57,37.776,38.983
10,1.0,35.464,0.0338,31.868,33.067,34.265,35.464,36.663,37.861,39.06
11,1.0,35.5643,0.0335,31.99,33.181,34.373,35.564,36.756,37.947,39.139
12,1.0,35.6645,0.03319,32.113,33.297,34.481,35.664,36.848,38.032,39.216
13,1.0,35.7647,0.03288,32.237,33.413,34.589,35.765,36.941,38.117,39.293
14,1.0,35.8649,0.03258,32.359,33.528,34.696,35.865,37.033,38.202,39.37
15,1.0,35.9652,0.03248,32.461,33.629,34.797,35.965,37.133,38.301,39.47
16,1.0,36.0632,0.03239,32.559,33.727,34.895,36.063,37.231,38.399,39.567
17,1.0,36.159,0.0323,32.655,33.823,34.991,36.159,37.327,38.495,39.663
18,1.0,36.2526,0.03221,32.75,33.917,35.085,36.253,37.42,38.588,39.756
19,1.0,36.3441,0.03213,32.841,34.009,35.176,36.344,37.512,38.68,39.847
20,1.0,36.4338,0.03205,32.931,34.098,35.266,36.434,37.602,38.769,39.937
21,1.0,36.5216,0.03197,33.019,34.186,35.354,36.522,37.689,38.857,40.024
22,1.0,36.6078,0.03189,33.106,34.273,35.44,36.608,37.775,38.943,40.11
23,1.0,36.6922,0.03182,33.19,34.357,35.525,36.692,37.86,39.027,40.195
24,1.0,36.7751,0.03175,33.272,34.44,35.607,36.775,37.943,39.11,40.278
25,1.0,36.8566,0.03168,33.354,34.521,35.689,36.857,38.024,39.192,40.359
26,1.0,36.9366,0.03161,33.434,34.601,35.769,36.937,38.104,39.272,40.439
27,1.0,37.0152,0.03154,33.513,34.68,35.848,37.015,38.183,39.35,40.518
28,1.0,37.0926,0.03148,33.59,34.757,35.925,37.093,38.26,39.428,40.596
29,1.0,37.1687,0.03141,33.666,34.834,36.001,37.169,38.336,39.504,40.671
30,1.0,37.2435,0.03135,33.741,34.908,36.076,37.244,38.411,39.579,40.746
31,1.0,37.3172,0.03129,33.814,34.982,36.15,37.317,38.485,39.653,40.82
32,1.0,37.3898,0.03123,33.887,35.054,36.222,37.39,38.557,39.725,40.893
33,1.0,37.4612,0.03118,33.957,35.125,36.293,37.461,38.629,39.797,40.965
34,1.0,37.5316,0.03112,34.028,35.196,36.364,37.532,38.7,39.868,41.036
35,1.0,37.601,0.03107,34.096,35.264,36.433,37.601,38.769,39.938,41.106
36,1.0,37.6694,0.03101,34.165,35.333,36.501,37.669,38.838,40.006,41.174
37,1.0,37.7368,0.03096,34.232,35.4,36.568,37.737,38.905,40.073,41.242
38,1.0,37.8034,0.03091,34.298,35.466,36.635,37.803,38.972,40.14,41.309
39,1.0,37.869,0.03086,34.363,35.532,36.7,37.869,39.038,40.206,41.375
40,1.0,37.9338,0.03081,34.428,35.596,36.765,37.934,39.103,40.271,41.44
41,1.0,37.9978,0.03076,34.491,35.66,36.829,37.998,39.167,40.335,41.504
42,1.0,38.0609,0.03072,34.553,35.722,36.892,38.061,39.23,40.399,41.569
43,1.0,38.1233,0.03067,34.616,35.785,36.954,38.123,39.293,40.462,41.631
44,1.0,38.185,0.03062,34.677,35.847,37.016,38.185,39.354,40.523,41.693
45,1.0,38.2459,0.03058,34.737,35.907,37.076,38.246,39.415,40.585,41.755
46,1.0,38.3061,0.03054,34.796,35.966,37.136,38.306,39.476,40.646,41.816
47,1.0,38.3655,0.03049,34.856,36.026,37.196,38.366,39.535,40.705,41.875
48,1.0,38.4243,0.03045,34.914,36.084,37.254,38.424,39.594,40.764,41.934
49,1.0,38.4824,0.03041,34.972,36.142,37.312,38.482,39.653,40.823,41.993
50,1.0,38.5399,0.03037,35.029,36.199,37.369,38.54,39.71,40.881,42.051
51,1.0,38.5968,0.03033,35.085,36.256,37.426,38.597,39.767,40.938,42.109
52,1.0,38.653,0.03029,35.141,36.311,37.482,38.653,39.824,40.995,42.165
53,1.0,38.7087,0.03025,35.196,36.367,37.538,38.709,39.88,41.051,42.222
54,1.0,38.7638,0.03021,35.251,36.422,37.593,38.764,39.935,41.106,42.277
55,1.0,38.8183,0.03018,35.304,36.475,37.647,38.818,39.99,41.161,42.333
56,1.0,38.8724,0.03014,35.358,36.529,37.701,38.872,40.044,41.216,42.387
57,1.0,38.9258,0.0301,35.411,36.582,37.754,38.926,40.097,41.269,42.441
58,1.0,38.9788,0.03007,35.463,36.635,37.807,38.979,40.151,41.323,42.495
59,1.0,39.0313,0.03003,35.515,36.687,37.859,39.031,40.203,41.376,42.548
60,1.0,39.0834,0.03,35.566,36.738,37.911,39.083,40.256,41.428,42.601
61,1.0,39.1349,0.02997,35.616,36.789,37.962,39.135,40.308,41.481,42.654
62,1.0,39.1861,0.02993,35.668,36.84,38.013,39.186,40.359,41.532,42.705
63,1.0,39.2368,0.0299,35.717,36.89,38.064,39.237,40.41,41.583,42.756
64,1.0,39.2871,0.02987,35.767,36.94,38.114,39.287,40.461,41.634,42.808
65,1.0,39.3369,0.02984,35.815,36.989,38.163,39.337,40.511,41.685,42.858
66,1.0,39.3863,0.02981,35.864,37.038,38.212,39.386,40.56,41.735,42.909
67,1.0,39.4353,0.02978,35.912,37.087,38.261,39.435,40.61,41.784,42.958
68,1.0,39.4838,0.02975,35.96,37.135,38.309,39.484,40.658,41.833,43.008
69,1.0,39.532,0.02972,36.007,37.182,38.357,39.532,40.707,41.882,43.057
70,1.0,39.5797,0.02969,36.054,37.229,38.405,39.58,40.755,41.93,43.105
71,1.0,39.6271,0.02966,36.101,37.276,38.452,39.627,40.802,41.978,43.153
72,1.0,39.674,0.02963,36.147,37.323,38.498,39.674,40.85,42.025,43.201
73,1.0,39.7206,0.02961,36.192,37.368,38.544,39.721,40.897,42.073,43.249
74,1.0,39.7668,0.02958,36.238,37.414,38.59,39.767,40.943,42.119,43.296
75,1.0,39.8127,0.02955,36.283,37.46,38.636,39.813,40.989,42.166,43.342
76,1.0,39.8581,0.02953,36.327,37.504,38.681,39.858,41.035,42.212,43.389
77,1.0,39.9033,0.0295,36.372,37.549,38.726,39.903,41.08,42.258,43.435
78,1.0,39.948,0.02948,36.415,37.593,38.77,39.948,41.126,42.303,43.481
79,1.0,39.9924,0.02945,36.459,37.637,38.815,39.992,41.17,42.348,43.526
80,1.0,40.0365,0.02943,36.502,37.68,38.858,40.036,41.215,42.393,43.571
81,1.0,40.0803,0.0294,36.545,37.724,38.902,40.08,41.259,42.437,43.615
82,1.0,40.1237,0.02938,36.587,37.766,38.945,40.124,41.303,42.481,43.66
83,1.0,40.1668,0.02936,36.629,37.808,38.988,40.167,41.346,42.525,43.705
84,1.0,40.2096,0.02933,36.672,37.851,39.03,40.21,41.389,42.568,43.748
85,1.0,40.2521,0.02931,36.713,37.893,39.072,40.252,41.432,42.612,43.791
86,1.0,40.2943,0.02929,36.754,37.934,39.114,40.294,41.475,42.655,43.835
87,1.0,40.3362,0.02927,36.794,37.975,39.156,40.336,41.517,42.697,43.878
88,1.0,40.3778,0.02925,36.835,38.016,39.197,40.378,41.559,42.74,43.921
89,1.0,40.4191,0.02922,36.876,38.057,39.238,40.419,41.6,42.781,43.962
90,1.0,40.4601,0.0292,36.916,38.097,39.279,40.46,41.642,42.823,44.004
91,1.0,40.5008,0.02918,36.955,38.137,39.319,40.501,41.683,42.864,44.046
