month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1.0,34.4618,0.03686,30.7,31.9,33.2,34.5,35.7,37.0,38.3
1,1.0,37.2759,0.03133,33.8,34.9,36.1,37.3,38.4,39.6,40.8
2,1.0,39.1285,0.02997,35.6,36.8,38.0,39.1,40.3,41.5,42.6
3,1.0,40.5135,0.02918,37.0,38.1,39.3,40.5,41.7,42.9,44.1
4,1.0,41.6317,0.02868,38.0,39.2,40.4,41.6,42.8,44.0,45.2
5,1.0,42.5576,0.02837,38.9,40.1,41.4,42.6,43.8,45.0,46.2
6,1.0,43.3306,0.02817,39.7,40.9,42.1,43.3,44.6,45.8,47.0
7,1.0,43.9803,0.02804,40.3,41.5,42.7,44.0,45.2,46.4,47.7
8,1.0,44.53,0.02796,40.8,42.0,43.3,44.5,45.8,47.0,48.3
9,1.0,44.9998,0.02792,41.2,42.5,43.7,45.0,46.3,47.5,48.8
10,1.0,45.4051,0.0279,41.6,42.9,44.1,45.4,46.7,47.9,49.2
11,1.0,45.7573,0.02789,41.9,43.2,44.5,45.8,47.0,48.3,49.6
12,1.0,46.0661,0.02789,42.2,43.5,44.8,46.1,47.4,48.6,49.9
13,1.0,46.3395,0.02789,42.5,43.8,45.0,46.3,47.6,48.9,50.2
14,1.0,46.5844,0.02791,42.7,44.0,45.3,46.6,47.9,49.2,50.5
15,1.0,46.806,0.02792,42.9,44.2,45.5,46.8,48.1,49.4,50.7
16,1.0,47.0088,0.02795,43.1,44.4,45.7,47.0,48.3,49.6,51.0
17,1.0,47.1962,0.02797,43.2,44.6,45.9,47.2,48.5,49.8,51.2
18,1.0,47.3711,0.028,43.4,44.7,46.0,47.4,48.7,50.0,51.4
19,1.0,47.5357,0.02803,43.5,44.9,46.2,47.5,48.9,50.2,51.5
20,1.0,47.6919,0.02806,43.7,45.0,46.4,47.7,49.0,50.4,51.7
21,1.0,47.8408,0.0281,43.8,45.2,46.5,47.8,49.2,50.5,51.9
22,1.0,47.9833,0.02813,43.9,45.3,46.6,48.0,49.3,50.7,52.0
23,1.0,48.1201,0.02817,44.1,45.4,46.8,48.1,49.5,50.8,52.2
24,1.0,48.2515,0.02821,44.2,45.5,46.9,48.3,49.6,51.0,52.3
