week,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1.0,34.4618,0.03686,30.7,31.9,33.2,34.5,35.7,37.0,38.3
1,1.0,35.1634,0.03472,31.5,32.7,33.9,35.2,36.4,37.6,38.8
2,1.0,35.8649,0.03258,32.4,33.5,34.7,35.9,37.0,38.2,39.4
3,1.0,36.5216,0.03197,33.0,34.2,35.4,36.5,37.7,38.9,40.0
4,1.0,37.0926,0.03148,33.6,34.8,35.9,37.1,38.3,39.4,40.6
5,1.0,37.601,0.03107,34.1,35.3,36.4,37.6,38.8,39.9,41.1
6,1.0,38.0609,0.03072,34.6,35.7,36.9,38.1,39.2,40.4,41.6
7,1.0,38.4824,0.03041,35.0,36.1,37.3,38.5,39.7,40.8,42.0
8,1.0,38.8724,0.03014,35.4,36.5,37.7,38.9,40.0,41.2,42.4
9,1.0,39.2368,0.0299,35.7,36.9,38.1,39.2,40.4,41.6,42.8
10,1.0,39.5797,0.02969,36.1,37.2,38.4,39.6,40.8,41.9,43.1
11,1.0,39.9033,0.0295,36.4,37.5,38.7,39.9,41.1,42.3,43.4
12,1.0,40.2096,0.02933,36.7,37.9,39.0,40.2,41.4,42.6,43.7
13,1.0,40.5008,0.02918,37.0,38.1,39.3,40.5,41.7,42.9,44.0
