day,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1.0,33.8787,0.03496,30.326,31.51,32.694,33.879,35.063,36.247,37.432
1,1.0,33.975,0.03479,30.429,31.611,32.793,33.975,35.157,36.339,37.521
2,1.0,34.0714,0.03461,30.534,31.713,32.892,34.071,35.251,36.43,37.609
3,1.0,34.1677,0.03444,30.637,31.814,32.991,34.168,35.344,36.521,37.698
4,1.0,34.264,0.03426,30.742,31.916,33.09,34.264,35.438,36.612,37.786
5,1.0,34.3603,0.03409,30.846,32.018,33.189,34.36,35.532,36.703,37.874
6,1.0,34.4566,0.03391,30.951,32.12,33.288,34.457,35.625,36.793,37.962
7,1.0,34.5529,0.03374,31.055,32.221,33.387,34.553,35.719,36.885,38.05
8,1.0,34.6493,0.03356,31.161,32.324,33.486,34.649,35.812,36.975,38.138
9,1.0,34.7456,0.03339,31.265,32.425,33.585,34.746,35.906,37.066,38.226
10,1.0,34.8419,0.03321,31.371,32.528,33.685,34.842,35.999,37.156,38.313
11,1.0,34.9382,0.03304,31.475,32.629,33.784,34.938,36.093,37.247,38.401
12,1.0,35.0345,0.03286,31.581,32.732,33.883,35.034,36.186,37.337,38.488
13,1.0,35.1309,0.03269,31.686,32.834,33.982,35.131,36.279,37.428,38.576
14,1.0,35.2272,0.03251,31.791,32.937,34.082,35.227,36.372,37.518,38.663
15,1.0,35.3211,0.03248,31.879,33.027,34.174,35.321,36.468,37.616,38.763
16,1.0,35.413,0.03245,31.966,33.115,34.264,35.413,36.562,37.711,38.86
17,1.0,35.5028,0.03242,32.05,33.201,34.352,35.503,36.654,37.805,38.956
18,1.0,35.5906,0.03239,32.132,33.285,34.438,35.591,36.743,37.896,39.049
19,1.0,35.6766,0.03236,32.213,33.368,34.522,35.677,36.831,37.986,39.14
20,1.0,35.7607,0.03233,32.292,33.448,34.605,35.761,36.917,38.073,39.229
21,1.0,35.843,0.03231,32.369,33.527,34.685,35.843,37.001,38.159,39.317
22,1.0,35.9237,0.03228,32.445,33.604,34.764,35.924,37.083,38.243,39.403
23,1.0,36.0028,0.03226,32.518,33.68,34.841,36.003,37.164,38.326,39.487
24,1.0,36.0803,0.03223,32.592,33.755,34.917,36.08,37.243,38.406,39.569
25,1.0,36.1563,0.03221,32.663,33.827,34.992,36.156,37.321,38.485,39.65
26,1.0,36.2309,0.03219,32.732,33.898,35.065,36.231,37.397,38.563,39.73
27,1.0,36.3042,0.03217,32.8,33.968,35.136,36.304,37.472,38.64,39.808
28,1.0,36.3761,0.03215,32.868,34.037,35.207,36.376,37.546,38.715,39.885
29,1.0,36.4468,0.03213,32.934,34.105,35.276,36.447,37.618,38.789,39.96
30,1.0,36.5163,0.03211,32.999,34.171,35.344,36.516,37.689,38.861,40.034
31,1.0,36.5846,0.03209,33.063,34.237,35.411,36.585,37.759,38.933,40.107
32,1.0,36.6519,0.03207,33.126,34.301,35.476,36.652,37.827,39.003,40.178
33,1.0,36.718,0.03206,33.186,34.364,35.541,36.718,37.895,39.072,40.25
34,1.0,36.7831,0.03204,33.248,34.426,35.605,36.783,37.962,39.14,40.319
35,1.0,36.8472,0.03202,33.308,34.488,35.667,36.847,38.027,39.207,40.387
36,1.0,36.9104,0.032,33.367,34.548,35.729,36.91,38.092,39.273,40.454
37,1.0,36.9726,0.03199,33.424,34.607,35.79,36.973,38.155,39.338,40.521
38,1.0,37.034,0.03197,33.482,34.666,35.85,37.034,38.218,39.402,40.586
39,1.0,37.0945,0.03196,33.538,34.723,35.909,37.094,38.28,39.466,40.651
40,1.0,37.1541,0.03194,33.594,34.781,35.967,37.154,38.341,39.528,40.714
41,1.0,37.213,0.03193,33.648,34.837,36.025,37.213,38.401,39.589,40.778
42,1.0,37.2711,0.03191,33.703,34.892,36.082,37.271,38.46,39.65,40.839
43,1.0,37.3284,0.0319,33.756,34.947,36.138,37.328,38.519,39.71,40.901
44,1.0,37.3851,0.03188,33.81,35.001,36.193,37.385,38.577,39.769,40.961
45,1.0,37.4411,0.03187,33.861,35.055,36.248,37.441,38.634,39.828,41.021
46,1.0,37.4964,0.03186,33.912,35.107,36.302,37.496,38.691,39.886,41.08
47,1.0,37.551,0.03184,33.964,35.16,36.355,37.551,38.747,39.942,41.138
48,1.0,37.605,0.03183,34.014,35.211,36.408,37.605,38.802,39.999,41.196
49,1.0,37.6584,0.03182,34.064,35.262,36.46,37.658,38.857,40.055,41.253
50,1.0,37.7112,0.0318,34.114,35.313,36.512,37.711,38.91,40.11,41.309
51,1.0,37.7635,0.03179,34.162,35.362,36.563,37.764,38.964,40.165,41.365
52,1.0,37.8152,0.03178,34.21,35.412,36.613,37.815,39.017,40.219,41.421
53,1.0,37.8663,0.03177,34.257,35.46,36.663,37.866,39.069,40.272,41.475
54,1.0,37.9169,0.03176,34.304,35.508,36.713,37.917,39.121,40.325,41.53
55,1.0,37.9671,0.03174,34.352,35.557,36.762,37.967,39.172,40.377,41.582
56,1.0,38.0167,0.03173,34.398,35.604,36.81,38.017,39.223,40.429,41.636
57,1.0,38.0658,0.03172,34.443,35.651,36.858,38.066,39.273,40.481,41.688
58,1.0,38.1145,0.03171,34.489,35.697,36.906,38.114,39.323,40.532,41.74
59,1.0,38.1628,0.0317,34.534,35.743,36.953,38.163,39.373,40.582,41.792
60,1.0,38.2106,0.03169,34.578,35.789,37.0,38.211,39.421,40.632,41.843
61,1.0,38.258,0.03168,34.622,35.834,37.046,38.258,39.47,40.682,41.894
62,1.0,38.305,0.03167,34.666,35.879,37.092,38.305,39.518,40.731,41.944
63,1.0,38.3516,0.03166,34.709,35.923,37.137,38.352,39.566,40.78,41.994
64,1.0,38.3978,0.03164,34.753,35.968,37.183,38.398,39.613,40.828,42.043
65,1.0,38.4437,0.03163,34.796,36.012,37.228,38.444,39.66,40.876,42.092
66,1.0,38.4891,0.03162,34.838,36.055,37.272,38.489,39.706,40.923,42.14
67,1.0,38.5342,0.03161,34.88,36.098,37.316,38.534,39.752,40.97,42.188
68,1.0,38.5789,0.0316,34.922,36.141,37.36,38.579,39.798,41.017,42.236
69,1.0,38.6233,0.03159,34.963,36.183,37.403,38.623,39.843,41.064,42.284
70,1.0,38.6673,0.03158,35.004,36.225,37.446,38.667,39.888,41.11,42.331
71,1.0,38.711,0.03158,35.044,36.266,37.489,38.711,39.933,41.156,42.378
72,1.0,38.7543,0.03157,35.084,36.307,37.531,38.754,39.978,41.201,42.425
73,1.0,38.7973,0.03156,35.124,36.348,37.573,38.797,40.022,41.246,42.471
74,1.0,38.84,0.03155,35.164,36.389,37.615,38.84,40.065,41.291,42.516
75,1.0,38.8823,0.03154,35.203,36.43,37.656,38.882,40.109,41.335,42.561
76,1.0,38.9244,0.03153,35.243,36.47,37.697,38.924,40.152,41.379,42.606
77,1.0,38.9661,0.03152,35.281,36.51,37.738,38.966,40.194,41.423,42.651
78,1.0,39.0075,0.03151,35.32,36.549,37.778,39.008,40.237,41.466,42.695
79,1.0,39.0487,0.0315,35.359,36.589,37.819,39.049,40.279,41.509,42.739
80,1.0,39.0895,0.03149,35.397,36.628,37.859,39.09,40.32,41.551,42.782
81,1.0,39.1301,0.03149,35.433,36.666,37.898,39.13,40.362,41.595,42.827
82,1.0,39.1704,0.03148,35.471,36.704,37.937,39.17,40.403,41.637,42.87
83,1.0,39.2104,0.03147,35.509,36.742,37.976,39.21,40.444,41.678,42.912
84,1.0,39.2501,0.03146,35.546,36.78,38.015,39.25,40.485,41.72,42.955
85,1.0,39.2896,0.03145,35.583,36.818,38.054,39.29,40.525,41.761,42.997
86,1.0,39.3288,0.03144,35.619,36.856,38.092,39.329,40.565,41.802,43.038
87,1.0,39.3677,0.03144,35.655,36.892,38.13,39.368,40.605,41.843,43.081
88,1.0,39.4064,0.03143,35.691,36.929,38.168,39.406,40.645,41.883,43.122
89,1.0,39.4448,0.03142,35.727,36.966,38.205,39.445,40.684,41.924,43.163
90,1.0,39.483,0.03141,35.763,37.003,38.243,39.483,40.723,41.963,43.203
91,1.0,39.521,0.0314,35.798,37.039,38.28,39.521,40.762,42.003,43.244
