month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1.0,33.8787,0.03496,30.3,31.5,32.7,33.9,35.1,36.2,37.4
1,1.0,36.5463,0.0321,33.0,34.2,35.4,36.5,37.7,38.9,40.1
2,1.0,38.2521,0.03168,34.6,35.8,37.0,38.3,39.5,40.7,41.9
3,1.0,39.5328,0.0314,35.8,37.1,38.3,39.5,40.8,42.0,43.3
4,1.0,40.5817,0.03119,36.8,38.1,39.3,40.6,41.8,43.1,44.4
5,1.0,41.459,0.03102,37.6,38.9,40.2,41.5,42.7,44.0,45.3
6,1.0,42.1995,0.03087,38.3,39.6,40.9,42.2,43.5,44.8,46.1
7,1.0,42.829,0.03075,38.9,40.2,41.5,42.8,44.1,45.5,46.8
8,1.0,43.3671,0.03063,39.4,40.7,42.0,43.4,44.7,46.0,47.4
9,1.0,43.83,0.03053,39.8,41.2,42.5,43.8,45.2,46.5,47.8
10,1.0,44.2319,0.03044,40.2,41.5,42.9,44.2,45.6,46.9,48.3
11,1.0,44.5844,0.03035,40.5,41.9,43.2,44.6,45.9,47.3,48.6
12,1.0,44.8965,0.03027,40.8,42.2,43.5,44.9,46.3,47.6,49.0
13,1.0,45.1752,0.03019,41.1,42.4,43.8,45.2,46.5,47.9,49.3
14,1.0,45.4265,0.03012,41.3,42.7,44.1,45.4,46.8,48.2,49.5
15,1.0,45.6551,0.03006,41.5,42.9,44.3,45.7,47.0,48.4,49.8
16,1.0,45.865,0.02999,41.7,43.1,44.5,45.9,47.2,48.6,50.0
17,1.0,46.0598,0.02993,41.9,43.3,44.7,46.1,47.4,48.8,50.2
18,1.0,46.2424,0.02987,42.1,43.5,44.9,46.2,47.6,49.0,50.4
19,1.0,46.4152,0.02982,42.3,43.6,45.0,46.4,47.8,49.2,50.6
20,1.0,46.5801,0.02977,42.4,43.8,45.2,46.6,48.0,49.4,50.7
21,1.0,46.7384,0.02972,42.6,44.0,45.3,46.7,48.1,49.5,50.9
22,1.0,46.8913,0.02967,42.7,44.1,45.5,46.9,48.3,49.7,51.1
23,1.0,47.0391,0.02962,42.9,44.3,45.6,47.0,48.4,49.8,51.2
24,1.0,47.1822,0.02957,43.0,44.4,45.8,47.2,48.6,50.0,51.4
