day,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,1.0,49.1477,0.0379,43.56,45.422,47.285,49.148,51.01,52.873,54.736
1,1.0,49.3166,0.03783,43.72,45.585,47.451,49.317,51.182,53.048,54.914
2,1.0,49.4854,0.03776,43.88,45.748,47.617,49.485,51.354,53.223,55.091
3,1.0,49.6543,0.0377,44.038,45.91,47.782,49.654,51.526,53.398,55.27
4,1.0,49.8232,0.03763,44.199,46.074,47.948,49.823,51.698,53.573,55.448
5,1.0,49.9921,0.03756,44.359,46.237,48.114,49.992,51.87,53.748,55.625
6,1.0,50.1609,0.03749,44.519,46.4,48.28,50.161,52.041,53.922,55.802
7,1.0,50.3298,0.03742,44.68,46.563,48.446,50.33,52.213,54.096,55.98
8,1.0,50.4987,0.03735,44.84,46.726,48.613,50.499,52.385,54.271,56.157
9,1.0,50.6676,0.03728,45.001,46.89,48.779,50.668,52.556,54.445,56.334
10,1.0,50.8365,0.03722,45.16,47.052,48.944,50.836,52.729,54.621,56.513
11,1.0,51.0053,0.03715,45.321,47.216,49.11,51.005,52.9,54.795,56.69
12,1.0,51.1742,0.03708,45.482,47.379,49.277,51.174,53.072,54.969,56.867
13,1.0,51.3431,0.03701,45.642,47.543,49.443,51.343,53.243,55.144,57.044
14,1.0,51.512,0.03694,45.803,47.706,49.609,51.512,53.415,55.318,57.221
15,1.0,51.651,0.0369,45.933,47.839,49.745,51.651,53.557,55.463,57.369
16,1.0,51.7895,0.03687,46.061,47.971,49.88,51.79,53.699,55.608,57.518
17,1.0,51.9272,0.03683,46.19,48.102,50.015,51.927,53.84,55.752,57.665
18,1.0,52.0641,0.0368,46.316,48.232,50.148,52.064,53.98,55.896,57.812
19,1.0,52.2002,0.03676,46.444,48.362,50.281,52.2,54.119,56.038,57.957
20,1.0,52.3353,0.03673,46.568,48.491,50.413,52.335,54.258,56.18,58.102
21,1.0,52.4695,0.03669,46.694,48.619,50.544,52.47,54.395,56.32,58.245
22,1.0,52.6027,0.03666,46.817,48.746,50.674,52.603,54.531,56.46,58.388
23,1.0,52.7349,0.03663,46.94,48.872,50.803,52.735,54.667,56.598,58.53
24,1.0,52.8661,0.0366,47.061,48.996,50.931,52.866,54.801,56.736,58.671
25,1.0,52.9963,0.03656,47.184,49.121,51.059,52.996,54.934,56.871,58.809
26,1.0,53.1255,0.03653,47.303,49.244,51.185,53.126,55.066,57.007,58.948
27,1.0,53.2537,0.0365,47.422,49.366,51.31,53.254,55.197,57.141,59.085
28,1.0,53.3809,0.03647,47.54,49.487,51.434,53.381,55.328,57.275,59.221
29,1.0,53.5072,0.03644,47.658,49.608,51.557,53.507,55.457,57.407,59.357
30,1.0,53.6326,0.03641,47.774,49.727,51.68,53.633,55.585,57.538,59.491
31,1.0,53.7571,0.03638,47.89,49.846,51.801,53.757,55.713,57.668,59.624
32,1.0,53.8806,0.03636,48.003,49.962,51.922,53.881,55.84,57.799,59.758
33,1.0,54.0031,0.03633,48.117,50.079,52.041,54.003,55.965,57.927,59.889
34,1.0,54.1247,0.0363,48.231,50.195,52.16,54.125,56.089,58.054,60.019
35,1.0,54.2454,0.03627,48.343,50.31,52.278,54.245,56.213,58.18,60.148
36,1.0,54.3651,0.03625,48.453,50.424,52.394,54.365,56.336,58.307,60.277
37,1.0,54.4839,0.03622,48.564,50.537,52.51,54.484,56.457,58.431,60.404
38,1.0,54.6018,0.03619,48.674,50.65,52.626,54.602,56.578,58.554,60.53
39,1.0,54.7187,0.03617,48.781,50.76,52.74,54.719,56.698,58.677,60.656
40,1.0,54.8348,0.03614,48.89,50.871,52.853,54.835,56.817,58.798,60.78
41,1.0,54.9499,0.03612,48.996,50.98,52.965,54.95,56.935,58.919,60.904
42,1.0,55.0642,0.03609,49.102,51.09,53.077,55.064,57.051,59.039,61.026
43,1.0,55.1777,0.03607,49.207,51.197,53.187,55.178,57.168,59.158,61.148
44,1.0,55.2903,0.03604,49.312,51.305,53.298,55.29,57.283,59.276,61.268
45,1.0,55.4021,0.03602,49.415,51.411,53.407,55.402,57.398,59.393,61.389
46,1.0,55.513,0.036,49.518,51.516,53.515,55.513,57.511,59.51,61.508
47,1.0,55.623,0.03597,49.621,51.621,53.622,55.623,57.624,59.625,61.625
48,1.0,55.7322,0.03595,49.721,51.725,53.729,55.732,57.736,59.739,61.743
49,1.0,55.8406,0.03593,49.822,51.828,53.834,55.841,57.847,59.853,61.86
50,1.0,55.9482,0.03591,49.921,51.93,53.939,55.948,57.957,59.966,61.975
