month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.3487,3.3464,0.14602,2.1,2.5,2.9,3.3,3.9,4.4,5.0
1,0.2297,4.4709,0.13395,2.9,3.4,3.9,4.5,5.1,5.8,6.6
2,0.197,5.5675,0.12385,3.8,4.3,4.9,5.6,6.3,7.1,8.0
3,0.1738,6.3762,0.11727,4.4,5.0,5.7,6.4,7.2,8.0,9.0
4,0.1553,7.0023,0.11316,4.9,5.6,6.2,7.0,7.8,8.7,9.7
5,0.1395,7.5105,0.1108,5.3,6.0,6.7,7.5,8.4,9.3,10.4
6,0.1257,7.934,0.10958,5.7,6.4,7.1,7.9,8.8,9.8,10.9
7,0.1134,8.297,0.10902,5.9,6.7,7.4,8.3,9.2,10.3,11.4
8,0.1021,8.6151,0.10882,6.2,6.9,7.7,8.6,9.6,10.7,11.9
9,0.0917,8.9014,0.10881,6.4,7.1,8.0,8.9,9.9,11.0,12.3
10,0.082,9.1649,0.10891,6.6,7.4,8.2,9.2,10.2,11.4,12.7
11,0.073,9.4122,0.10906,6.8,7.6,8.4,9.4,10.5,11.7,13.0
12,0.0644,9.6479,0.10925,6.9,7.7,8.6,9.6,10.8,12.0,13.3
13,0.0563,9.8749,0.10949,7.1,7.9,8.8,9.9,11.0,12.3,13.7
14,0.0487,10.0953,0.10976,7.2,8.1,9.0,10.1,11.3,12.6,14.0
15,0.0413,10.3108,0.11007,7.4,8.3,9.2,10.3,11.5,12.8,14.3
16,0.0343,10.5228,0.11041,7.5,8.4,9.4,10.5,11.7,13.1,14.6
17,0.0275,10.7319,0.11079,7.7,8.6,9.6,10.7,12.0,13.4,14.9
18,0.0211,10.9385,0.11119,7.8,8.8,9.8,10.9,12.2,13.7,15.3
19,0.0148,11.143,0.11164,8.0,8.9,10.0,11.1,12.5,13.9,15.6
20,0.0087,11.3462,0.11211,8.1,9.1,10.1,11.3,12.7,14.2,15.9
21,0.0029,11.5486,0.11261,8.2,9.2,10.3,11.5,12.9,14.5,16.2
22,-0.0028,11.7504,0.11314,8.4,9.4,10.5,11.8,13.2,14.7,16.5
23,-0.0083,11.9514,0.11369,8.5,9.5,10.7,12.0,13.4,15.0,16.8
24,-0.0137,12.1515,0.11426,8.6,9.7,10.8,12.2,13.6,15.3,17.1
