day,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.3809,3.2322,0.14171,2.033,2.395,2.794,3.232,3.711,4.23,4.793
1,0.3259,3.1957,0.14578,1.994,2.352,2.752,3.196,3.685,4.222,4.81
2,0.3101,3.2104,0.14637,2.002,2.362,2.764,3.21,3.704,4.249,4.846
3,0.2986,3.2315,0.14657,2.017,2.378,2.782,3.232,3.73,4.28,4.885
4,0.2891,3.2558,0.14658,2.034,2.397,2.803,3.256,3.758,4.314,4.925
5,0.281,3.2821,0.14646,2.053,2.418,2.826,3.282,3.789,4.349,4.967
6,0.2737,3.3099,0.14626,2.074,2.44,2.851,3.31,3.82,4.386,5.009
7,0.2671,3.3388,0.146,2.096,2.464,2.877,3.339,3.853,4.423,5.052
8,0.2609,3.3687,0.14569,2.118,2.488,2.904,3.369,3.887,4.461,5.096
9,0.2551,3.3995,0.14534,2.141,2.513,2.932,3.4,3.921,4.5,5.14
10,0.2497,3.4314,0.14498,2.165,2.54,2.96,3.431,3.957,4.54,5.186
11,0.2446,3.4643,0.14459,2.19,2.567,2.99,3.464,3.993,4.581,5.232
12,0.2397,3.4983,0.1442,2.216,2.595,3.021,3.498,4.031,4.623,5.28
13,0.2349,3.5333,0.1438,2.242,2.623,3.052,3.533,4.07,4.667,5.329
14,0.2304,3.5693,0.14339,2.269,2.653,3.085,3.569,4.11,4.712,5.379
15,0.226,3.6063,0.14299,2.297,2.683,3.118,3.606,4.151,4.758,5.431
16,0.2218,3.6438,0.14258,2.325,2.714,3.152,3.644,4.193,4.804,5.483
17,0.2177,3.6818,0.14218,2.353,2.745,3.187,3.682,4.235,4.852,5.536
18,0.2137,3.7201,0.14177,2.382,2.777,3.221,3.72,4.278,4.899,5.589
19,0.2099,3.7584,0.14138,2.41,2.808,3.256,3.758,4.32,4.946,5.642
20,0.2061,3.7968,0.14098,2.439,2.84,3.291,3.797,4.363,4.994,5.695
21,0.2024,3.8352,0.1406,2.468,2.871,3.325,3.835,4.406,5.042,5.749
22,0.1989,3.8735,0.14021,2.496,2.903,3.36,3.874,4.448,5.089,5.802
23,0.1954,3.9116,0.13984,2.525,2.934,3.395,3.912,4.49,5.136,5.854
24,0.1919,3.9495,0.13947,2.553,2.965,3.429,3.95,4.532,5.183,5.906
25,0.1886,3.9872,0.1391,2.582,2.996,3.463,3.987,4.574,5.229,5.958
26,0.1853,4.0247,0.13875,2.61,3.027,3.497,4.025,4.616,5.275,6.01
27,0.1821,4.0618,0.1384,2.638,3.058,3.531,4.062,4.657,5.321,6.061
28,0.1789,4.0987,0.13805,2.665,3.088,3.564,4.099,4.698,5.366,6.112
29,0.1758,4.1353,0.13771,2.693,3.118,3.597,4.135,4.738,5.411,6.162
30,0.1727,4.1716,0.13738,2.72,3.148,3.63,4.172,4.778,5.456,6.212
31,0.1697,4.2075,0.13706,2.747,3.178,3.663,4.208,4.818,5.5,6.261
32,0.1668,4.2431,0.13674,2.774,3.207,3.695,4.243,4.857,5.544,6.31
33,0.1638,4.2783,0.13643,2.801,3.236,3.727,4.278,4.896,5.587,6.358
34,0.161,4.3131,0.13613,2.827,3.265,3.758,4.313,4.935,5.63,6.406
35,0.1582,4.3476,0.13583,2.853,3.294,3.79,4.348,4.973,5.672,6.453
36,0.1554,4.3818,0.13554,2.879,3.322,3.821,4.382,5.011,5.714,6.5
37,0.1526,4.4155,0.13526,2.904,3.35,3.851,4.416,5.048,5.756,6.546
38,0.1499,4.449,0.13498,2.93,3.377,3.882,4.449,5.085,5.797,6.592
39,0.1473,4.482,0.1347,2.955,3.405,3.912,4.482,5.122,5.837,6.637
40,0.1446,4.5148,0.13444,2.98,3.432,3.942,4.515,5.158,5.878,6.682
41,0.142,4.5472,0.13418,3.004,3.459,3.971,4.547,5.194,5.917,6.726
42,0.1395,4.5793,0.13392,3.029,3.485,4.0,4.579,5.229,5.957,6.77
43,0.1369,4.611,0.13367,3.053,3.512,4.029,4.611,5.264,5.995,6.813
44,0.1344,4.6425,0.13342,3.077,3.538,4.058,4.642,5.299,6.034,6.856
45,0.132,4.6736,0.13318,3.1,3.564,4.086,4.674,5.333,6.072,6.898
46,0.1295,4.7044,0.13295,3.124,3.589,4.114,4.704,5.367,6.11,6.941
47,0.1271,4.7349,0.13272,3.147,3.614,4.142,4.735,5.401,6.147,6.982
48,0.1247,4.7651,0.1325,3.17,3.639,4.169,4.765,5.434,6.184,7.024
49,0.1224,4.795,0.13228,3.192,3.664,4.196,4.795,5.467,6.221,7.064
50,0.12,4.8245,0.13206,3.215,3.689,4.223,4.824,5.5,6.257,7.105
51,0.1177,4.8538,0.13185,3.237,3.713,4.25,4.854,5.532,6.293,7.145
52,0.1154,4.8828,0.13165,3.259,3.737,4.276,4.883,5.564,6.329,7.185
53,0.1132,4.9115,0.13145,3.281,3.761,4.302,4.912,5.596,6.364,7.224
54,0.1109,4.9399,0.13125,3.303,3.785,4.328,4.94,5.627,6.399,7.263
55,0.1087,4.968,0.13106,3.324,3.808,4.354,4.968,5.658,6.433,7.301
56,0.1065,4.9959,0.13087,3.345,3.831,4.379,4.996,5.689,6.467,7.339
57,0.1044,5.0235,0.13068,3.366,3.854,4.404,5.024,5.72,6.501,7.377
58,0.1022,5.0509,0.1305,3.387,3.877,4.429,5.051,5.75,6.535,7.414
59,0.1001,5.078,0.13033,3.408,3.899,4.454,5.078,5.78,6.568,7.452
60,0.098,5.1049,0.13015,3.428,3.922,4.478,5.105,5.81,6.601,7.488
61,0.0959,5.1315,0.12998,3.449,3.944,4.502,5.132,5.839,6.634,7.525
62,0.0938,5.158,0.12982,3.469,3.966,4.526,5.158,5.868,6.666,7.561
63,0.0918,5.1842,0.12966,3.489,3.987,4.55,5.184,5.897,6.699,7.597
64,0.0897,5.2102,0.1295,3.508,4.009,4.574,5.21,5.926,6.731,7.633
65,0.0877,5.236,0.12934,3.528,4.031,4.597,5.236,5.955,6.762,7.669
66,0.0857,5.2616,0.12919,3.548,4.052,4.621,5.262,5.983,6.794,7.704
67,0.0838,5.287,0.12904,3.567,4.073,4.644,5.287,6.011,6.825,7.739
68,0.0818,5.3121,0.12889,3.586,4.094,4.667,5.312,6.039,6.856,7.773
69,0.0798,5.337,0.12875,3.605,4.114,4.689,5.337,6.066,6.886,7.807
70,0.0779,5.3618,0.12861,3.624,4.135,4.712,5.362,6.094,6.917,7.842
71,0.076,5.3863,0.12847,3.643,4.155,4.734,5.386,6.121,6.947,7.875
72,0.0741,5.4107,0.12834,3.661,4.175,4.756,5.411,6.148,6.977,7.909
73,0.0722,5.4348,0.12821,3.679,4.195,4.778,5.435,6.175,7.007,7.942
74,0.0704,5.4587,0.12808,3.698,4.215,4.8,5.459,6.201,7.036,7.975
75,0.0685,5.4825,0.12795,3.716,4.235,4.821,5.482,6.227,7.066,8.008
76,0.0667,5.5061,0.12783,3.734,4.255,4.843,5.506,6.254,7.095,8.041
77,0.0648,5.5295,0.1277,3.752,4.274,4.864,5.53,6.279,7.124,8.073
78,0.063,5.5527,0.12758,3.769,4.293,4.885,5.553,6.305,7.152,8.105
79,0.0612,5.5757,0.12747,3.787,4.312,4.906,5.576,6.331,7.181,8.137
80,0.0595,5.5986,0.12735,3.804,4.331,4.927,5.599,6.356,7.209,8.169
81,0.0577,5.6213,0.12724,3.821,4.35,4.947,5.621,6.381,7.237,8.2
82,0.0559,5.6438,0.12713,3.838,4.369,4.968,5.644,6.406,7.265,8.231
83,0.0542,5.6662,0.12702,3.855,4.387,4.988,5.666,6.431,7.292,8.262
