month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.3809,3.2322,0.14171,2.0,2.4,2.8,3.2,3.7,4.2,4.8
1,0.1714,4.1873,0.13724,2.7,3.2,3.6,4.2,4.8,5.5,6.2
2,0.0962,5.1282,0.13,3.4,3.9,4.5,5.1,5.8,6.6,7.5
3,0.0402,5.8458,0.12619,4.0,4.5,5.2,5.8,6.6,7.5,8.5
4,-0.005,6.4237,0.12402,4.4,5.0,5.7,6.4,7.3,8.2,9.3
5,-0.043,6.8985,0.12274,4.8,5.4,6.1,6.9,7.8,8.8,10.0
6,-0.0756,7.297,0.12204,5.1,5.7,6.5,7.3,8.2,9.3,10.6
7,-0.1039,7.6422,0.12178,5.3,6.0,6.8,7.6,8.6,9.8,11.1
8,-0.1288,7.9487,0.12181,5.6,6.3,7.0,7.9,9.0,10.2,11.6
9,-0.1507,8.2254,0.12199,5.8,6.5,7.3,8.2,9.3,10.5,12.0
10,-0.17,8.48,0.12223,5.9,6.7,7.5,8.5,9.6,10.9,12.4
11,-0.1872,8.7192,0.12247,6.1,6.9,7.7,8.7,9.9,11.2,12.8
12,-0.2024,8.9481,0.12268,6.3,7.0,7.9,8.9,10.1,11.5,13.1
13,-0.2158,9.1699,0.12283,6.4,7.2,8.1,9.2,10.4,11.8,13.5
14,-0.2278,9.387,0.12294,6.6,7.4,8.3,9.4,10.6,12.1,13.8
15,-0.2384,9.6008,0.12299,6.7,7.6,8.5,9.6,10.9,12.4,14.1
16,-0.2478,9.8124,0.12303,6.9,7.7,8.7,9.8,11.1,12.6,14.5
17,-0.2562,10.0226,0.12306,7.0,7.9,8.9,10.0,11.4,12.9,14.8
18,-0.2637,10.2315,0.12309,7.2,8.1,9.1,10.2,11.6,13.2,15.1
19,-0.2703,10.4393,0.12315,7.3,8.2,9.2,10.4,11.8,13.5,15.4
20,-0.2762,10.6464,0.12323,7.5,8.4,9.4,10.6,12.1,13.7,15.7
21,-0.2815,10.8534,0.12335,7.6,8.6,9.6,10.9,12.3,14.0,16.0
22,-0.2862,11.0608,0.1235,7.8,8.7,9.8,11.1,12.5,14.3,16.4
23,-0.2903,11.2688,0.12369,7.9,8.9,10.0,11.3,12.8,14.6,16.7
24,-0.2941,11.4775,0.1239,8.1,9.0,10.2,11.5,13.0,14.8,17.0
